"ntTitle","ntDec","result","tDec","tTitle"
"Dihydropyridine calcium antagonists increase fibrinolytic activity: a systematic review (Provisional abstract)","Exclude","","Exclude","Dihydropyridine calcium antagonists increase fibrinolytic activity: a systematic review"
"Do all antihypertensive drugs improve carotid intima-media thickness? A network meta-analysis of randomized controlled trials (Provisional abstract)","Exclude","","Exclude","Do all antihypertensive drugs improve carotid intima-media thickness? A network meta-analysis of randomized controlled trials"
"Do angiotensin converting enzyme inhibitors or angiotensin receptor blockers prevent diabetes mellitus? A meta-analysis (Structured abstract)","Exclude","","Exclude","Do angiotensin converting enzyme inhibitors or angiotensin receptor blockers prevent diabetes mellitus? A meta-analysis"
"Do calcium channel blockers increase the diagnosis of heart failure in patients with hypertension? (Structured abstract)","Exclude","","Exclude","Do calcium channel blockers increase the diagnosis of heart failure in patients with hypertension?"
"Do changes of 6-minute walk distance predict clinical events in patients with pulmonary arterial hypertension? A meta-analysis of 22 randomized trials (Provisional abstract)","Exclude","",,
"Do COX-2 inhibitors raise blood pressure more than nonselective NSAIDs and placebo? An updated meta-analysis (Structured abstract)","Exclude","","Exclude","Do COX-2 inhibitors raise blood pressure more than nonselective NSAIDs and placebo? An updated meta-analysis"
"Do statins reduce blood pressure: a meta-analysis of randomized, controlled trials (Provisional abstract)","Exclude","",,
"Doctors record higher blood pressures than nurses: systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Doctors record higher blood pressures than nurses: systematic review and meta-analysis"
"Does achieving an intensive versus usual blood pressure level prevent stroke? (Provisional abstract)","Exclude","","Exclude","Does achieving an intensive versus usual blood pressure level prevent stroke?"
"Does this patient have bacterial peritonitis or portal hypertension: how do I perform a paracentesis and analyze the results? (Structured abstract)","Exclude","","Exclude","Does this patient have bacterial peritonitis or portal hypertension: how do I perform a paracentesis and analyze the results?"
"Does use of antihypertensive drugs affect the incidence or progression of dementia? A systematic review (Structured abstract)","Exclude","","Exclude","Does use of antihypertensive drugs affect the incidence or progression of dementia? A systematic review"
"Drug therapy for obstructive sleep apnoea in adults","Exclude","","Exclude","Drug therapy for obstructive sleep apnoea in adults"
"Drugs for pulmonary arterial hypertension: a systematic review of the clinical-effectiveness of combination therapy (Structured abstract)","Exclude","","Exclude","Drugs for pulmonary arterial hypertension: a systematic review of the clinical-effectiveness of combination therapy"
"Drugs for treating Schistosoma mansoni infection","Exclude","","Exclude","Drugs for treating Schistosoma mansoni infection"
"Dual therapy in IPAH and SSc-PAH. A qualitative systematic review (Provisional abstract)","Exclude","","Exclude","Dual therapy in IPAH and SSc-PAH. A qualitative systematic review"
"Early (< 8 days) postnatal corticosteroids for preventing chronic lung disease in preterm infants","Exclude","","Exclude","Early (< 8 days) postnatal corticosteroids for preventing chronic lung disease in preterm infants"
"Early and late renal adverse effects after potentially nephrotoxic treatment for childhood cancer","Exclude","","Exclude","Early and late renal adverse effects after potentially nephrotoxic treatment for childhood cancer"
"Early impact of bariatric surgery on type II diabetes, hypertension, and hyperlipidemia: a systematic review, meta-analysis and meta-regression on 6,587 patients (Provisional abstract)","Exclude","","Exclude","Early impact of bariatric surgery on type II diabetes, hypertension, and hyperlipidemia: a systematic review, meta-analysis and meta-regression on 6,587 patients"
"Edaravone for acute intracerebral haemorrhage","Exclude","","Exclude","Edaravone for acute intracerebral haemorrhage"
"Effect of allopurinol on blood pressure: a systematic review and meta-analysis (Provisional abstract)","Exclude","CONFLICT","Include","Effect of allopurinol on blood pressure: a systematic review and meta-analysis"
"Effect of angiotensin receptor blockers in the prevention of type 2 diabetes and cardiovascular events: a meta-analysis of randomized trials (Provisional abstract)","Exclude","","Exclude","Effect of angiotensin receptor blockers in the prevention of type 2 diabetes and cardiovascular events: a meta-analysis of randomized trials"
"Effect of angiotensin-converting enzyme inhibitors on arterial stiffness in hypertension: systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Effect of angiotensin-converting enzyme inhibitors on arterial stiffness in hypertension: systematic review and meta-analysis"
"Effect of antihypertensive agents on cerebral blood flow and flow velocity in acute ischaemic stroke: systematic review of controlled studies (Structured abstract)","Exclude","","Exclude","Effect of antihypertensive agents on cerebral blood flow and flow velocity in acute ischaemic stroke: systematic review of controlled studies"
"Effect of antihypertensive drugs on mortality, morbidity and blood pressure in blacks","Exclude","","Exclude","Effect of antihypertensive drugs on mortality, morbidity and blood pressure in blacks"
"Effect of backrest position on intracranial pressure and cerebral perfusion pressure in individuals with brain injury: a systematic review (Provisional abstract)","Exclude","","Exclude","Effect of backrest position on intracranial pressure and cerebral perfusion pressure in individuals with brain injury: a systematic review"
"The effect of bariatric surgery on hypertension: a meta-analysis (Provisional abstract)","Exclude","",,
"Effect of childhood obesity prevention programs on blood pressure: a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Effect of Childhood Obesity Prevention Programs on Blood Pressure: A Systematic Review and Meta-Analysis"
"The effect of combination treatment with aliskiren and blockers of the renin-angiotensin system on hyperkalaemia and acute kidney injury: systematic review and meta-analysis (Structured abstract)","Exclude","","Exclude","The effect of combination treatment with aliskiren and blockers of the renin-angiotensin system on hyperkalaemia and acute kidney injury: systematic review and meta-analysis"
"Effect of CPAP on blood pressure in patients with obstructive sleep apnea and resistant hypertension: a systematic review and meta-analysis (Provisional abstract)","Exclude","","Exclude","Effect of CPAP on blood pressure in patients with obstructive sleep apnea and resistant hypertension: a systematic review and meta-analysis"
"Effect of cyclosporine on blood pressure","Exclude","CONFLICT","Include","Effect of cyclosporine on blood pressure"
"Effect of different components of triple-H therapy on cerebral perfusion in patients with aneurysmal subarachnoid haemorrhage: a systematic review (Structured abstract)","Exclude","","Exclude","Effect of different components of triple-H therapy on cerebral perfusion in patients with aneurysmal subarachnoid haemorrhage: a systematic review"
"Effect of early treatment with anti-hypertensive drugs on short and long-term mortality in patients with an acute cardiovascular event","Exclude","","Exclude","Effect of early treatment with anti-hypertensive drugs on short and long-term mortality in patients with an acute cardiovascular event"
"Effect of fructose on blood pressure: a systematic review and meta-analysis of controlled feeding trials (Provisional abstract)","Exclude","",,
